idInventario,fecha,codfrente,frenteNombre,reportadoPor,codcap,codsubcap,codact,proveedor,equipo,unidad,cantidad,fechaPosibleIngreso,diasPorUtilizar,fechaPosibleDevolucion,observaciones,creado,valorUnitario,categoriaEquipo,Columna1,Columna2,Columna3
mtbx6axmtjuoej,2026-08-27,1.0,3 - CHECK IN NACIONAL - INTERNACIONAL,Elvis Dubeney Valencia Martinez,1.01,01.01.01,01.01.01.01,ALDECCO,"Allanadora 36"" (Gasolina)",DIA,1.0,2026-08-17,,2026-08-22,,2026-08-27T19:32:27.226Z,,Concreto y Acabados,,,
mtbx6axmtjuoej,2026-08-27,1.0,3 - CHECK IN NACIONAL - INTERNACIONAL,Elvis Dubeney Valencia Martinez,1.01,01.01.01,01.01.01.01,ALDECCO,Concretadora 0.5 sacos electrica,DIA,1.0,2026-08-18,,2026-08-22,,2026-08-27T19:32:27.226Z,,Concreto y Acabados,,,
mth8j68iy7ro7q,2026-08-31,1.0,3 - CHECK IN NACIONAL - INTERNACIONAL,LLair Alberto Zapata Correa,1.01,,,ALDECCO,"Allanadora 36"" (Gasolina)",DIA,1.0,2026-08-10,10.0,2026-08-24,,2026-08-31T12:49:14.323Z,62600.0,Concreto y Acabados,,,
mtj0v5utkwnksv,2026-08-31,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,ALDECCO,Concretadora 0.5 sacos electrica,DIA,1.0,2026-09-04,,2026-09-30,VARIOS FRENTES,2026-09-01T18:50:09.125Z,,Concreto y Acabados,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Vertical 2000mm ce,DIA,4.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,500.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,"Rueda para Andamio 8""",DIA,8.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,2600.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Vertical 200mm collar,DIA,1.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,109.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Diagonal 1500x2000mm,DIA,4.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,431.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Diagonal 2250x2000mm,DIA,1.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,493.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Horizontal 750mm,DIA,14.0,2026-07-10,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,181.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Horizontal 1500mm,DIA,4.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,300.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Plataforma de seguridad 1500x230mm,DIA,1.0,2026-07-10,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,900.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Horizontal 3000mm,DIA,5.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,550.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Horizontal 2250mm,DIA,4.0,2026-06-10,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,450.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Diagonal 3000x2000mm,DIA,1.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,558.0,Andamiaje y Alturas,,,
mtj1psm4o7srsr,2026-09-01,11.0,9 - ALTERNATIVA EMIGRACION,Jhon Ocampo,,,,EQUIPOS INMEDIATOS,Plataforma de seguridad 3000x320mm,DIA,2.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T19:13:58.300Z,1800.0,Andamiaje y Alturas,,,
mtj44aexqp91cn,2026-08-31,2.0,3A - ALTERNATIVA SISTEMA DE EQUIPAJE SALIENDO BHS SUR Y NORTE,Jarrison Hurtado,,,,EQUIPOS INMEDIATOS,Vertical 2000mm se,DIA,8.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T20:21:13.785Z,486.0,Andamiaje y Alturas,,,
mtj44aexqp91cn,2026-08-31,2.0,3A - ALTERNATIVA SISTEMA DE EQUIPAJE SALIENDO BHS SUR Y NORTE,Jarrison Hurtado,,,,EQUIPOS INMEDIATOS,Horizontal 1500mm,DIA,12.0,2026-06-09,,,ACTIVIDADES VARIAS,2026-09-01T20:21:13.785Z,300.0,Andamiaje y Alturas,,,
mtj44aexqp91cn,2026-08-31,2.0,3A - ALTERNATIVA SISTEMA DE EQUIPAJE SALIENDO BHS SUR Y NORTE,Jarrison Hurtado,,,,EQUIPOS INMEDIATOS,Diagonal 2250x2000mm,DIA,2.0,2026-06-10,,,VARIAS ACTIVIDADES,2026-09-01T20:21:13.785Z,493.0,Andamiaje y Alturas,,,
mtj44aexqp91cn,2026-08-31,2.0,3A - ALTERNATIVA SISTEMA DE EQUIPAJE SALIENDO BHS SUR Y NORTE,Jarrison Hurtado,,,,EQUIPOS INMEDIATOS,Horizontal 3000mm,DIA,6.0,2026-06-09,,,VARIAS ACTIVIDADES,2026-09-01T20:21:13.785Z,550.0,Andamiaje y Alturas,,,
