codact,rol,rendimiento
01.01.01.01,Ayudante,0.468751909718685
01.01.01.01,Oficial,0.75
01.01.02.01,Ayudante,0.6667001170764342
01.01.02.01,Oficial,0.3635946655658376
01.01.02.02,Ayudante,1.9998996588400562
01.01.02.02,Oficial,1
01.01.02.03,Ayudante,1.9998996588400562
01.01.02.03,Oficial,1
01.01.02.04,Ayudante,1.9998996588400562
01.01.02.04,Oficial,1
01.01.02.05,Ayudante,1.9998996588400562
01.01.02.05,Oficial,1
01.01.02.06,Ayudante,0.5
01.01.02.06,Oficial,0.666708719695536
01.01.02.07,Ayudante,1.9998996588400562
01.01.02.07,Oficial,1
01.01.02.08,Ayudante,0.7142959538400889
01.01.02.08,Oficial,1.4285456839070103
01.01.02.09,Ayudante,0.7142959538400889
01.01.02.10,Ayudante,9.52269469660774
01.02.01.01,Ayudante,0.1434797654342926
01.02.01.01,Oficial,0.21521983916586132
01.02.02.02,Ayudante,6.6671012603215996
01.02.02.02,Oficial,6.666849766547652
01.02.02.03,Ayudante,6.6671012603215996
01.02.02.03,Oficial,6.666849766547652
01.02.03.02,Ayudante,0.3333333333333333
01.02.03.02,Oficial,0.3333333333333333
01.02.03.03,Ayudante,3.3335506301607998
01.02.03.03,Oficial,2.4998970133882596
01.02.03.04,Ayudante,0.6666521814705371
01.02.03.04,Oficial,0.6666666666666666
01.02.03.05,Ayudante,7.1419925512104285
01.02.03.05,Oficial,7.143613890523838
01.04.01.01,Ayudante,0.5
01.04.01.02,Ayudante,0.0035087719298245615
01.04.01.02,Oficial,0.015384615384615385
01.05.01.01,Otro,14.992391203488912
01.05.01.02,Otro,0.5999878199943705
01.05.01.03,Otro,1.4200499561433577
01.05.01.04,Otro,11.111088188369918
01.05.01.05,Otro,60.23898292446499
01.05.01.06,Otro,9.615380037610988
01.05.01.07,Otro,50.504188547136785
01.05.01.08,Otro,10.020031007751937
01.05.01.09,Otro,10.020031007751937
01.05.01.10,Otro,10.020031007751937
01.05.01.11,Otro,10.020031007751937
01.05.01.12,Otro,30.029923425767603
01.05.01.13,Otro,4.308498440041599
01.05.01.14,Otro,4.308498440041599
